Map,Treatment,Date Treated,Date Sampled,Days Post,weeks post,Basin Location,No larvae,Early,Late,Pupae,Emerged,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,Hibbard & Sunview,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1288 Sunview,0,1,1,4,0,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1308 Sunview,0,0,1,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,End of Sunview,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,End of Sunview,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,End of Sunview,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1350 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1350 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1333 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1333 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1333 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1321 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1321 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1277 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1295 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1295 Hackberry,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1303 Westmoor,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1329 Westmoor,1,0,0,0,NA,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,1353 Westmoor,0,0,0,1,0,,,,,
A-13,Sumilarv 3 WSP,5/13/2024,5/22/2024,9,2,End of Westmoor,1,0,0,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Keystone,1,0,0,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Keystone,0,1,0,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Keystone,0,1,0,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Keystone,0,1,1,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Keystone,0,1,1,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Karlov,0,0,1,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Karlov,0,1,1,1,0,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Karlov,0,1,1,3,0,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Kedvale,1,0,0,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Kedvale,0,1,1,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Kedvale,0,1,1,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Kedvale,0,1,1,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Kedvale,0,1,1,0,NA,,,,,
